id,state,state abbreviation,population
1,Alabama,AL,"600,000 - 750,000"
12,Florida,FL,"100,000 - 200,000"
5,Arkansas,AR,"300,000 - 500,000"
6,California,CA,"10,000 - 25,000"
9,Connecticut,CT,"10,000 - 25,000"
19,Iowa,IA,"10,000 - 25,000"
4,Arizona,AZ,"UNDER - 10,000"
8,Colorado,CO,"UNDER - 10,000"
16,Idaho,ID,"UNDER - 10,000"
10,Delaware,DE,"25,000 - 50,000"
13,Georgia,GA,"750,000 NEGROES AND OVER"
17,Illinois,IL,"50,000 - 100,000"
18,Indiana,IN,"25,000 - 50,000"
20,Kansas,KS,"25,000 - 50,000"
21,Kentucky,KY,"200,000 - 300,000"
22,Louisiana,LA,"500,000 - 600,000"
25,Massachusetts,MA,"10,000 - 25,000"
24,Maryland,MD,"200,000 - 300,000"
23,Maine,ME,"UNDER - 10,000"
26,Michigan,MI,"10,000 - 25,000"
27,Minnesota,MN,"UNDER - 10,000"
29,Missouri,MO,"100,000 - 200,000"
28,Mississippi,MS,"600,000 - 750,000"
30,Montana,MT,"UNDER - 10,000"
37,North Carolina,NC,"500,000 - 600,000"
38,North Dakota,ND,"UNDER - 10,000"
31,Nebraska,NE,"UNDER - 10,000"
33,New Hampshire,NH,"UNDER - 10,000"
32,Nevada,NV,"UNDER - 10,000"
34,New Jersey,NJ,"25,000 - 50,000"
35,New Mexico,NM,"UNDER - 10,000"
36,New York,NY,"50,000 - 100,000"
39,Ohio,OH,"50,000 - 100,000"
40,Oklahoma,OK,"UNDER - 10,000"
41,Oregon,OR,"UNDER - 10,000"
42,Pennsylvania,PA,"100,000 - 200,000"
44,Rhode Island,RI,"UNDER - 10,000"
45,South Carolina,SC,"600,000 - 750,000"
46,South Dakota,SD,"UNDER - 10,000"
47,Tennessee,TN,"300,000 - 500,000"
48,Texas,TX,"300,000 - 500,000"
49,Utah,UT,"UNDER - 10,000"
51,Virginia,VA,"600,000 - 750,000"
50,Vermont,VT,"UNDER - 10,000"
53,Washington,WA,"UNDER - 10,000"
54,West Virginia,WV,"25,000 - 50,000"
55,Wisconsin,WI,"UNDER - 10,000"
56,Wyoming,WY,"UNDER - 10,000"
