ID,State,State Abbreviation,Latitude,Longitude,HxPosition,HyPosition,SxPosition,SyPosition,Soil Name,Level Number,Level Name,Start Depth (cm),End Depth (cm),Munsell,RGB
1,Alabama,AL,32.31823,-86.902298,7,1,7,1,Bama,1,Ap,0,13,10YR 3/2,"rgb(85, 70, 54)"
1,Alabama,,32.31823,-86.902298,7,1,7,1,Bama,2,E,13,23,10YR 5/4,"rgb(148, 118, 79)"
1,Alabama,,32.31823,-86.902298,7,1,7,1,Bama,3,BE,23,36,7.5YR 5/6,"rgb(163, 113, 63)"
1,Alabama,,32.31823,-86.902298,7,1,7,1,Bama,4,Bt1,36,56,5YR 4/6,"rgb(138, 84, 47)"
1,Alabama,,32.31823,-86.902298,7,1,7,1,Bama,5,bt2,56,104,2.5YR 4/8,"rgb(152, 76, 38)"
1,Alabama,,32.31823,-86.902298,7,1,7,1,Bama,6,bt3,104,173,2.5YR 4/6,"rgb(142, 82, 55)"
1,Alabama,,32.31823,-86.902298,7,1,7,1,Bama,7,bt4,173,188,2.5YR 4/8,"rgb(152, 76, 38)"
2,Alaska,AK,66.160507,-153.369141,0,4,0,6,Tanana,1,Oi,0,8,7.5YR 3/2,"rgb(88, 69, 55)"
2,,,66.160507,-153.369141,0,4,0,6,Tanana,2,OA,8,14,10YR 2/1,"rgb(54, 48, 41 )"
2,,,66.160507,-153.369141,0,4,0,6,Tanana,3,Bjjg,14,44,2.5Y 4/3,"rgb(112, 94, 63)"
2,,,66.160507,-153.369141,0,4,0,6,Tanana,4,Cjjg,44,63,2.5Y 4/3,"rgb(112, 94, 63)"
2,,,66.160507,-153.369141,0,4,0,6,Tanana,5,Cjjgf,63,183,2.5Y 4/3,"rgb(112, 94, 63)"
4,Arizona,AZ,34.048927,-111.093735,2.5,1.5,2,2,Case Grande,1,An,0,2.5,10YR 6/4,"rgb(174, 144, 104)"
4,Arizona,,34.048927,-111.093735,2.5,1.5,2,2,Case Grande,2,BAn,2.5,12.5,10YR 6/3,"rgb(167, 144, 114 )"
4,Arizona,,34.048927,-111.093735,2.5,1.5,2,2,Case Grande,3,Btknz1,12.5,20,10YR 6/4,"rgb(174, 144, 104)"
4,Arizona,,34.048927,-111.093735,2.5,1.5,2,2,Case Grande,4,Btknz2,20,27.5,10YR 6/4,"rgb(174, 144, 104)"
4,Arizona,,34.048927,-111.093735,2.5,1.5,2,2,Case Grande,5,Btknz3,27.5,45,7.5YR 5/6,"rgb(163, 113, 63)"
4,Arizona,,34.048927,-111.093735,2.5,1.5,2,2,Case Grande,6,Btknz4,45,80,7.5YR 5/6,"rgb(163, 113, 63)"
4,Arizona,,34.048927,-111.093735,2.5,1.5,2,2,Case Grande,7,Btknz5,80,97.5,7.5YR 5/4,"rgb(152, 116, 85)"
4,Arizona,,34.048927,-111.093735,2.5,1.5,2,2,Case Grande,8,2BCknz1,97.5,115,10YR 6/4,"rgb(174, 144, 104)"
4,Arizona,,34.048927,-111.093735,2.5,1.5,2,2,Case Grande,9,2BCknz2,115,150,7.5YR 6/4,"rgb(179, 142, 110)"
5,Arkansas,AR,34.799999,-92.199997,5.5,1.5,5,2,Stuttgart,1,Ap,0,15.24,10YR 4/2,"rgb(111, 95, 76)"
5,Arkansas,,34.799999,-92.199997,5.5,1.5,5,2,Stuttgart,2,A,15.24,27.94,10YR 5/2,"rgb(137, 120, 101)"
5,Arkansas,,34.799999,-92.199997,5.5,1.5,5,2,Stuttgart,3,E,27.94,58.42,10YR 5/4,"rgb(148, 118, 79)"
5,Arkansas,,34.799999,-92.199997,5.5,1.5,5,2,Stuttgart,4,Bt1,58.42,88.9,2.5YR 4/6,"rgb(142, 82, 55)"
5,Arkansas,,34.799999,-92.199997,5.5,1.5,5,2,Stuttgart,5,Bt2,88.9,116.84,10YR 5/2,"rgb(137, 120, 101)"
5,Arkansas,,34.799999,-92.199997,5.5,1.5,5,2,Stuttgart,6,bt3,116.84,152.4,10YR 6/2,"rgb(163, 147, 126)"
5,Arkansas,,34.799999,-92.199997,5.5,1.5,5,2,Stuttgart,7,bt4,152.4,203.2,10YR 6/2,"rgb(163, 147, 126)"
6,California,CA,36.778259,-119.417931,1.5,1.5,1,3,San Joaquin,1,Ap,0,15.24,7.5YR 3/4,"rgb(98, 66, 38)"
6,California,,36.778259,-119.417931,1.5,1.5,1,3,San Joaquin,2,Bt1,15.24,25.4,5YR 4/4,"rgb(128, 88, 64)"
6,California,,36.778259,-119.417931,1.5,1.5,1,3,San Joaquin,3,bt2,25.4,40.64,5YR 5/4,"rgb(154, 115, 89)"
6,California,,36.778259,-119.417931,1.5,1.5,1,3,San Joaquin,4,2bt3,40.64,53.34,7.5YR 4/6,"rgb(134, 87, 40)"
6,California,,36.778259,-119.417931,1.5,1.5,1,3,San Joaquin,5,2bt4,53.34,66.04,7.5YR 4/4,"rgb(126, 90, 59)"
6,California,,36.778259,-119.417931,1.5,1.5,1,3,San Joaquin,6,2Bqm1,66.04,73.66,7.5YR 5/4,"rgb(152, 116, 85)"
6,California,,36.778259,-119.417931,1.5,1.5,1,3,San Joaquin,7,2Bqm2,73.66,121.92,7.5YR 4/6,"rgb(134, 87, 40)"
6,California,,36.778259,-119.417931,1.5,1.5,1,3,San Joaquin,8,2Bq,121.92,152.4,7.5YR 3/4,"rgb(98, 66, 38)"
8,Colorado,CO,39.113014,-105.358887,3,2,3,3,Seitz,1,Oi,0,5.08,10YR 2/1,"rgb(54, 48, 41)"
8,Colorado,,39.113014,-105.358887,3,2,3,3,Seitz,2,Oe,5.08,10.16,10YR 2/1,"rgb(54, 48, 41)"
8,Colorado,,39.113014,-105.358887,3,2,3,3,Seitz,3,A,10.16,15.24,10YR 4/1,"rgb(103, 95, 84 )"
8,Colorado,,39.113014,-105.358887,3,2,3,3,Seitz,4,E,15.24,33.02,7.5YR 7/2,"rgb(192, 172, 155)"
8,Colorado,,39.113014,-105.358887,3,2,3,3,Seitz,5,E/B,33.02,45.72,7.5YR 7/2,"rgb(192, 172, 155)"
8,Colorado,,39.113014,-105.358887,3,2,3,3,Seitz,6,Bt1,45.72,81.28,7.5YR 5/3,"rgb(119, 90, 68)"
8,Colorado,,39.113014,-105.358887,3,2,3,3,Seitz,7,Bt2,81.28,91.44,7.5YR 4/3,"rgb(119, 90, 68)"
9,Connecticut,CT,41.599998,-72.699997,10.5,2.5,10,4,Windsor,1,Oe,0,3,10YR 2/1,"rgb(54, 48, 41)"
9,Connecticut,,41.599998,-72.699997,10.5,2.5,10,4,Windsor,2,A,3,8,10YR 3/2,"rgb(85, 70, 54)"
9,Connecticut,,41.599998,-72.699997,10.5,2.5,10,4,Windsor,3,Bw1,8,23,7.5YR 5/6,"rgb(163, 113, 63)"
9,Connecticut,,41.599998,-72.699997,10.5,2.5,10,4,Windsor,4,Bw2,23,53,10YR 5/6,"rgb(157, 115, 55)"
9,Connecticut,,41.599998,-72.699997,10.5,2.5,10,4,Windsor,5,Bw3,53,64,10YR 6/4,"rgb(174, 144, 104)"
9,Connecticut,,41.599998,-72.699997,10.5,2.5,10,4,Windsor,6,C,64,165,10YR 6/3,"rgb(167, 144, 114)"
